Language	ISO 639-3	hh.bib key	ideophone (prop)	ideophone (freq)	all (freq)	idêophone (prop)	idêophone (freq)	all (freq)
Anyin	any	g:Ahua:Agni	9.79E-06	1	102095	5.88E-05	6	102095
Tetela	tll	styp:Omatete:Tetela	0	0	104928	5.72E-05	6	104928
Ngiemboon	nnh	sd:Lonfo:Ngiemboon	4.14E-06	1	241782	2.48E-05	6	241782
Wolof	wol	typ:Perrin:Wolof	0	0	275699	2.18E-05	6	275699
Beembe	beq	g:Kouarata:Beembe	0	0	22605	0.00022119	5	22605
Parkwa	pbi	s:Jarvis:Podoko	0	0	47938	0.000178348	5	28035
Tsaangi	tsa	phontyp:Loubelo:Kitsangi	0	0	38412	0.000130168	5	38412
Belize Kriol English	bzj	g:Decker:Kriol	5.57E-05	3	53873	9.28E-05	5	53873
Wolof	wol	s:Robert:Wolof	8.11E-06	1	123356	4.05E-05	5	123356
Puma	pum	g:Sharma:Puma	0	0	141090	3.54E-05	5	141090
Japhug	NOCODE_Japhug	g:Jacques:Japhug	0	0	217728	2.83E-05	5	176701
Haitian	hat	gv:Fattier:Haiti	9.13E-07	1	1095370	4.56E-06	5	1095370
Ntomba	nto	s:Mangulu:Bokala-Nkole	0	0	14460	0.000276625	4	14460
Ligenza	lgz	s:Motingea:Genja	0	0	14866	0.00026907	4	14866
Miship	mjs	g:Muazu:Miship	0.002069687	91	43968	9.10E-05	4	43968
Khroskyabs	jiq	s:Lai:Lavrung-Wobzi	0	0	48640	8.22E-05	4	48640
Noon	snf	g:Lopis:Noon	0	0	52207	7.66E-05	4	52207
Lehar	cae	g:Dieye:Laalaa	0	0	67447	5.93E-05	4	67447
Luvale	lue	g:Horton:Luvale	0.000147222	11	74717	5.35E-05	4	74717
Pular	fuf	sd:Diallo:Peul	0	0	93944	4.26E-05	4	93944
Kwese	kws	g:Forges:Kwezo	0	0	114327	3.50E-05	4	114327
Abé	aba	s:NGuessan:Abbey	0	0	118826	3.37E-05	4	118826
Abidji	abi	s:Tresbarats:Abidji	0	0	118826	3.37E-05	4	118826
Abure	abu	s:Burmeister:Aboure	0	0	118826	3.37E-05	4	118826
Adioukrou	adj	s:Herault:Adioukrou	0	0	118826	3.37E-05	4	118826
Alladian	ald	s:Duponchel:Alladian	0	0	118826	3.37E-05	4	118826
Anyin	any	s:Burmeister:Agni	0	0	118826	3.37E-05	4	118826
Attié	ati	s:Kutsch:Attie	0	0	118826	3.37E-05	4	118826
Avikam	avi	s:Herault:Avikam	0	0	118826	3.37E-05	4	118826
Ebrié	ebr	s:Bole-Richard:Ebrie	0	0	118826	3.37E-05	4	118826
Ega	ega	s:Bole-Richard:Ega	0	0	118826	3.37E-05	4	118826
Beti (Côte d'Ivoire)	eot	s:Herault:Eotile	0	0	118826	3.37E-05	4	118826
Mbato	gwa	s:GrassiasBole-Richard:Ngula	0	0	118826	3.37E-05	4	118826
Krobu	kxb	s:Mensah:Krobou	0	0	118826	3.37E-05	4	118826
Wolof	wol	g:Robert:Wolof	0	0	121610	3.29E-05	4	121610
Abron	abr	s:Timyan-Ravenhill:Abron	0	0	118826	0.000329056	3	9117
Tiene	tii	s:Mangulu:Ketiene	0	0	13691	0.000219122	3	13691
Mabaale	mmz	s:MotingeaBonzoi:Mbenga	0	0	37391	8.02E-05	3	37391
Izon	ijc	g:Williamson:Kolokuma	0.00087407	41	46907	6.53E-05	3	45945
Papel	pbo	g:Ndao:Pepel	0	0	78811	3.81E-05	3	78811
Mafa	maf	sd:BarreteauLeBleis:Mafa	0	0	91745	3.58E-05	3	83751
Bulu (Cameroon)	bum	g:Alexandre:Bulu:1966	0	0	85053	3.53E-05	3	85053
Judeo-Tat	jdt	g:Authier:Judeo-Tat	0	0	90368	3.32E-05	3	90368
Tatuyo	tav	g:Gomez-Imbert:Tatuyo	0	0	102664	3.29E-05	3	91069
Zimbabwean Ndebele	nde	s:Sibanda:Ndebele-Zimbabwe	0.000444595	50	112462	2.67E-05	3	112462
Maco	wpc	g:Roses:Mako	0.000186941	25	133732	2.24E-05	3	133732
Wolof	wol	typ:Nouguier:Wolof	0	0	140798	2.13E-05	3	140716
Harari	har	g:Mitiku:Harari	0.000192109	30	156161	1.92E-05	3	156161
Mono (Democratic Republic of Congo)	mnh	g:Kamanda-Kola:Mono:1998	0	0	171474	1.75E-05	3	171474
Bambara	bam	g:Dumestre:Bambara-Mali	0	0	189651	1.58E-05	3	189651
Anyin	any	g:Quaireau:Agni	6.51E-06	2	307324	9.76E-06	3	307324
Zamba	NOCODE_Zamba	s:Mangulu:Zamba	0	0	75307	0.000484848	2	4125
Nyakyusa-Ngonde	nyy	typ:Lusekelo:Nyakyusa	0	0	9362	0.00021363	2	9362
Motembo-Kunda-Buja	tmv	s:Mangulu:Babale	0	0	75307	0.000179969	2	11113
Kwaya	kya	typ:Odom:Kwaya	0	0	23569	8.49E-05	2	23569
Xiriâna	xir	g:Ramirez:Bahuana	0	0	33383	6.88E-05	2	29064
Kugere-Kuxinge	bda	g:Diagne:Bayot	0	0	45679	4.38E-05	2	45679
Classical Nahuatl	nci	g:Durand:Nahuatl	0	0	49862	4.01E-05	2	49862
Buli (Ghana)	bwu	sd:Kroger:Buli	0	0	51392	3.89E-05	2	51392
Wolof	wol	g:Diagne:Wolof	0	0	55581	3.60E-05	2	55581
Shiwa	NOCODE_Shiwa	s:Ollomo:Shiwa	0	0	64523	3.10E-05	2	64523
Sango	sag	g:Diki-Kidiri:Sango	1.48E-05	1	67790	2.89E-05	2	69087
Western Maninkakan	mlq	g:Creissels:Maninka-Niokolo	0	0	69676	2.87E-05	2	69676
Tsonga	tso	g:Baumbach:Tsonga	0.001113427	78	70054	2.85E-05	2	70054
Yaka (Central African Republic)	axk	s:ThomasBahuchet:Aka	3.41E-05	2	58603	2.76E-05	2	72400
Fang (Equatorial Guinea)	fan	g:Akomo:Fang	0	0	75080	2.66E-05	2	75080
Bafut	bfd	g:Tamanji:Bafut	6.60E-05	5	75790	2.64E-05	2	75790
Zulu	zul	g:Doke:Zulu	0.000764372	72	94195	2.12E-05	2	94195
Xamtanga	xan	g:Teshome:Khimtanga	3.09E-05	3	97203	2.06E-05	2	97203
Xhosa	xho	g:Jordan:Literary-Xhosa	0.000150773	15	99487	2.01E-05	2	99487
Kacipo-Balesi	koe	s:YigezuDimmendaal:Baale	3.28E-05	4	121867	1.64E-05	2	121644
Tirma-Chai	suq	s:LastLucassen:Chai	5.80E-05	2	34459	1.64E-05	2	121644
Tennet	tex	s:Randal:Tennet:1998	3.28E-05	4	121867	1.64E-05	2	121644
Kwegu	xwg	s:Hieda:Koegu	3.28E-05	4	121867	1.64E-05	2	121644
Shona	sna	g:Fortune:Shona-Analytical	0.00050687	64	126265	1.58E-05	2	126265
Kaba	ksp	g:Moser:Kabba	0.00069934	123	175880	1.18E-05	2	169898
Nangnda	bjv	g:Djarangar:Bedjonde	0	0	186629	1.07E-05	2	186629
Kayardild	gyd	g:Round:Kayardild	0	0	202422	9.89E-06	2	202151
Ewe	ewe	g:Ameka:Ewe	6.55E-05	17	259561	7.81E-06	2	256165
Papuan Malay	pmy	g:Kluge:Papuan-Malay	1.55E-05	4	257622	7.76E-06	2	257622
Chadian Arabic	shu	typ:Owens:Ideophones-Nigerian-Arabic	0.016212233	66	4071	0.00024564	1	4071
Loi-Likila	biz	s:Mangulu:Baloi	0	0	75307	0.000244738	1	4086
Bassari-Tanda	bsc	s:Ferry:Basari	0	0	4374	0.000228624	1	4374
Bamwe	bmg	s:Mangulu:Likata	0	0	75307	0.00021106	1	4738
Boko (Democratic Republic of Congo)	bkp	s:Mangulu:Mbonji	0	0	75307	0.000206101	1	4852
Motembo-Kunda-Buja	tmv	s:Mangulu:Motembo	0	0	75307	0.000198334	1	5042
Mongo	lol	s:Mangulu:Bapoto-Mongo	0	0	5108	0.000195771	1	5108
