Language	ISO 639-3	hh.bib key	ideophone (prop)	ideophone (freq)	all (freq)	idêophone (prop)	idêophone (freq)	all (freq)
Quiotepec Chinantec	chq	g:Robbins:Quiotepec	0	0	2436	0	0	2436
Cherokee	chr	g:HolmesSmith:Cherokee	0	0	107757	0	0	107757
Cherokee	chr	s:Scancarelli:Cherokee	0	0	12729	0	0	12729
Cherokee	chr	g:Scancarelli:Cherokee	0	0	80782	0	0	80782
Cherokee	chr	gd:King:Cherokee	0	0	96926	0	0	96926
Cherokee	chr	g:Montgomery-Anderson:Oklahoma-Cherokee	0	0	132147	0	0	132147
Cherokee	chr	g:Cook:Cherokee	0	0	48659	0	0	48659
Cherokee	chr	s:PulteFeeling:Cherokee	0	0	49296	0	0	49296
Cherokee	chr	s:vonderGabelentz:Tscherokesischen	0	0	10521	0	0	10521
Cholón	cht	g:delaMata:Cholona	0	0	7425	0	0	7425
Cholón	cht	g:Alexander-Bakkerus:Cholon	0	0	160354	0	0	160354
Church Slavic	chu	s:Huntley:Old-Church-Slavonic	0	0	410778	0	0	410778
Church Slavic	chu	g:Kamchatnov:Staroslavyanskij	0	0	123466	0	0	123466
Church Slavic	chu	g:Marcialis:Paleoslava	0	0	97647	0	0	97647
Church Slavic	chu	st:Zhukovskaya:Drevnejskix-Slavyanskix	0	0	394943	0	0	394943
Church Slavic	chu	g:Lunt:Old-Church-Slavonic	0	0	117337	0	0	117337
Church Slavic	chu	g:Elkina:Staroslavyanskij	0	0	253089	0	0	253089
Church Slavic	chu	g:Regier:Old-Church-Slavic	0	0	78281	0	0	78281
Chuvash	chv	g:Andreev:Chuvashskogo:1966	0	0	348751	0	0	348751
Chuvash	chv	typ:Lebedev:Cuvasskago	0	0	17422	0	0	17422
Chuvash	chv	s:Budenz:Csuvas	0	0	0	0	0	0
Chuvash	chv	s:Benzing:Tschuwaschische	0	0	708714	0	0	708714
Chuvash	chv	s:Xevetere:Cavas	0	0	0	0	0	0
Chuvash	chv	s:Veniamin:Cuvasskago	0	0	59790	0	0	59790
Chuvash	chv	g:Andreev:Chuvashskij	0	0	349302	0	0	349302
Chuvash	chv	g:Andreev:Chuvashskogo	0	0	316635	0	0	316635
Chuvash	chv	s:Rona-Tas:Csuvas	0	0	12660	0	0	12660
Chuvash	chv	g:Krueger:Chuvash	0	0	74445	0	0	74445
Chuvash	chv	s:Mateev:Cuvasskogo	0	0	102343	0	0	102343
Chuvash	chv	s:Clark:Chuvash	0	0	8218	0	0	8218
Chuvash	chv	sd:Visnevskij:Cuvasskogo	0	0	73364	0	0	73364
Chuwabu	chw	typ:Carvalho:Echuwabo	0	0	15107	0	0	15107
Chuwabu	chw	s:Buramo:Ecuwabu	0	0	5188	0	0	5188
Chantyal	chx	s:Noonan:Chantyal	1.59E-05	5	315382	0	0	315382
Cheyenne	chy	g:Leman:Cheyenne	0	0	66686	0	0	66686
Cheyenne	chy	s:Petter:Cheyenne	0	0	85255	0	0	85255
Cheyenne	chy	s:Leman:Cheyenne	0	0	1980	0	0	1980
Cheyenne	chy	s:Petter:Cheyenne:1907	0	0	20806	0	0	20806
Cia-Cia	cia	s:vandenBerg:Cia-Cia	0	0	8021	0	0	8021
Cia-Cia	cia	s:Abdullahetal:Cia-Cia	0	0	20849	0	0	20849
Chickasaw	cic	sd:MunroWillmond:Chickasaw	0	0	243649	0	0	243649
Chickasaw	cic	s:Munro:Chickasaw	0	0	14338	0	0	14338
Chimariko	cid	g:Jany:Chimariko	0	0	87055	0	0	87055
Chimariko	cid	g:Jany:Chimariko:2007	0	0	77193	0	0	77193
Chimariko	cid	g:Dixon:Chimariko	0	0	33178	0	0	33178
Chinali	cih	s:Sharma:Chinali	0	0	24145	0	0	24145
Chitkuli Kinnauri	cik	s:Sharma:Chhitkuli	0	0	29116	0	0	29116
Cimbrian	cim	s:Bideseetal:Zimbrische	0	0	84138	0	0	84138
Cimbrian	cim	styp:Bidese:Zimbrischen	0	0	80759	0	0	80759
Cimbrian	cim	ssoc:Morandi:Cimbrian	0	0	52878	0	0	52878
Cimbrian	cim	g:Tyroller:Zimbrischen	0	0	113348	0	0	113348
Cimbrian	cim	g:Schweizer:Zimbrische	0	0	368992	0	0	368992
Cinta Larga	cin	typ:Tressmann:Cinta-Larga	0	0	1492	0	0	1492
Cinta Larga	cin	s:Sandberg:Cintalarga	0	0	4713	0	0	4713
Chiapanec	cip	s:Adam:Chiapaneque	0	0	1241	0	0	1241
Tiri-Mea	cir	g:Osumi:Tinrin	0	0	105687	0	0	105687
Chippewa	ciw	g:Baraga:Otchipwe	0	0	125936	0	0	125936
Chippewa	ciw	typ:Sullivan:Ojibwe	0	0	107317	0	0	107317
Chippewa	ciw	s:Summerfield:Chippeway	0	0	8542	0	0	8542
Chippewa	ciw	s:Schoolcraft:Chippewa	0	0	1057	0	0	1057
Western Cham	cja	s:Baumgartner:WCham	0	0	7343	0	0	7343
Western Cham	cja	s:Ueki:Western-Cham	0	0	51680	0	0	51680
Chru	cje	s:NgaiFuller:Chru	0	0	9124	0	0	9124
Upper Chehalis	cjh	s:Kinkade:Upper-Chehalis	0	0	47700	0	0	47700
Upper Chehalis	cjh	s:Kinkade:UpperChehalis:1963-1964	0	0	45340	0	0	45340
Chamalal	cji	g:Bokarev:Chamalinskogo	0	0	263999	0	0	263999
Chamalal	cji	s:Magomedova:Chamalal	8.29E-06	1	120618	0	0	120618
Chokwe	cjk	s:vandenEynde:Cokwe	0	0	33992	0	0	33992
Chokwe	cjk	s:dosSantos:Quioca	0	0	34306	0	0	34306
Chokwe	cjk	g:Martins:Utchokwe	0	0	63792	0	0	63792
Eastern Cham	cjm	s:Alieva:Cam	0	0	5309	0	0	5309
Eastern Cham	cjm	s:Thurgood:Phan	9.94E-06	4	402554	0	0	402554
Eastern Cham	cjm	s:Smith:Eastern-Cham	0	0	15940	0	0	15940
Cabécar	cjp	typ:Campos:Cabecar	0	0	6903	0	0	6903
Cabécar	cjp	s:Bourland:Cabecar	0	0	10935	0	0	10935
Cabécar	cjp	s:Quesada:Cabecar	0	0	14241	0	0	14241
Cabécar	cjp	s:Pena:Cabecar	0	0	15477	0	0	15477
Cabécar	cjp	typ:Richards:Cabecares	0	0	3184	0	0	3184
Cabécar	cjp	sd:Pena:Cabecar	0	0	268956	0	0	268956
Cabécar	cjp	s:Verhoeven:Cabecar	0	0	93475	0	0	93475
Shor	cjs	g:Dyrenkova:Shor	0	0	410161	0	0	410161
Shor	cjs	s:Mezekova:Sorskij	0	0	19386	0	0	19386
Chuave	cjv	s:Thurman:Chuave:Deep	0	0	3401	0	0	3401
Chuave	cjv	typ:Thurman:Chuave:Clauses	0	0	4491	0	0	4491
Jinyu Chinese	cjy	g:Hou:Xiandai-Jin:1999	0	0	30057	0	0	30057
Central Kurdish	ckb	g:Akrawy:Kurdish	0	0	75389	0	0	75389
Central Kurdish	ckb	g:Blau:Kurde	0	0	76974	0	0	76974
Central Kurdish	ckb	g:Thackston:Sorani	0	0	70601	0	0	70601
Central Kurdish	ckb	st:Mann:Mukri	0	0	1066	0	0	1066
Central Kurdish	ckb	s:Friend:Suleimaniye-Kurdish	0	0	2880	0	0	2880
Central Kurdish	ckb	s:McCarus:Kurdish	0	0	385339	0	0	385339
Chak	ckh	sd:Huziwara:Cak	0	0	168508	0	0	168508
Chak	ckh	g:Huziwara:Chakku	5.33E-06	1	187593	0	0	264458
Cibak	ckl	s:Hoffmann:Cibak	0	0	13431	0	0	13431
Anufo	cko	g:Smye:Anufo	0	0	74542	0	0	74542
Anufo	cko	s:Prost:Anufom	0	0	12744	0	0	12744
Anufo	cko	s:StanfordStanford:Chakosi	0	0	14679	0	0	14679
Tayo	cks	g:Ehrhart:Tayo	0	0	116889	0	0	116889
Tayo	cks	s:EhrhartRevis:Tayo	0	0	9518	0	0	9518
Tayo	cks	s:Corne:Tayo	0	0	12191	0	0	12191
Chukchi	ckt	s:VolodinSkorik:Chukotskij	0	0	27941	0	0	27941
Chukchi	ckt	s:Skorik:Chukotskomu	0	0	64283	0	0	64283
Chukchi	ckt	g:Bogoras:Chukchee	0	0	172702	0	0	172702
Chukchi	ckt	s:Kruse:Chukchee	0	0	107556	0	0	107556
Chukchi	ckt	g:Weinstein:Tchouktche	0	0	31353	0	0	31353
Chukchi	ckt	s:Bogoraz:Luoravetlanskij	0	0	57989	0	0	57989
Chukchi	ckt	g:Dunn:Chukchi	0	0	160635	0	0	160635
Chukchi	ckt	g:Skorik:Chukotskogo	0	0	554849	0	0	554849
Koasati	cku	g:Kimball:Koasati:1985	0	0	260868	0	0	260868
Koasati	cku	typ:Rising:Koasati	0	0	32224	0	0	32224
Koasati	cku	g:Kimball:Koasati	0	0	156430	0	0	156430
Kavalan	ckv	styp:Lee:Kavalan	1.53E-05	1	65188	0	0	65188
Kavalan	ckv	g:Chang:Gamalan	0	0	1998	0	0	1998
Kavalan	ckv	typ:Haowen:Kavalan	0	0	55966	0	0	55966
Cakfem-Mushere	cky	s:Shadrach:Chakfem	0	0	7338	0	0	7338
Cakfem-Mushere	cky	st:JungraithmayrDiyakal:Mushere	1.40E-05	1	71643	0	0	71643
Cakchiquel-Quiché Mixed Language	ckz	s:England:Mayas	0	0	48345	0	0	48345
Cakchiquel-Quiché Mixed Language	ckz	htyp:England:Mayas	0	0	38857	0	0	38857
Ron	cla	typ:Jungraithmayr:Ron-plurals	0	0	0	0	0	0
Ron	cla	g:Seibert:Ron	0.000160975	7	43485	0	0	43485
Chilcotin	clc	g:Cook:Tsilhqutin	0	0	207158	0	0	207158
Chaldean Neo-Aramaic	cld	s:Sara:Modern-Chaldean	0	0	26714	0	0	26714
Chaldean Neo-Aramaic	cld	s:Coghill:Peshabur	0	0	6215	0	0	6215
Chaldean Neo-Aramaic	cld	g:Coghill:Neo-Aramaic-Alqosh	0	0	102901	0	0	102901
Chaldean Neo-Aramaic	cld	g:Rhetore:Soureth	0	0	67590	0	0	67590
Chaldean Neo-Aramaic	cld	s:Sachau:Fellichi	0	0	24057	0	0	24057
Chaldean Neo-Aramaic	cld	styp:Rubba:Modern-Aramaic	0	0	128578	0	0	128578
Lealao Chinantec	cle	sd:Rupp:Chinanteco	0	0	25202	0	0	25202
Lealao Chinantec	cle	g:Rupp:Lealao	0	0	33376	0	0	33376
Chakali	cli	g:Brindle:Chakali	0.00011656	20	171585	0	0	171585
Idu	clk	s:Pulu:Idu-Mishmi	0	0	19945	0	0	19945
Idu	clk	s:Pulu:Idu:1978	0	0	21212	0	0	21212
Idu	clk	g:Jiang:Yidu	0	0	88698	0	0	88698
Idu	clk	s:Talukdar:Idu	0	0	17633	0	0	17633
Clallam	clm	s:ThompsonThompson:Clallam	0	0	14332	0	0	14332
Clallam	clm	g:Fleischer:Clallam	0	0	74051	0	0	74051
Lowland Oaxaca Chontal	clo	g:OConnor:Chontal	0	0	96348	0	0	96348
Lowland Oaxaca Chontal	clo	s:Waterhouse:Huamelultec	0	0	11502	0	0	11502
Lowland Oaxaca Chontal	clo	s:Waterhouse:Chontal	0	0	27750	0	0	27750
Caluyanun	clu	s:Titrud:Caluyanen	0	0	7042	0	0	7042
Chulym	clw	g:Lietal:Middle-Chulym	0	0	65635	0	0	65635
Chulym	clw	s:AndersonHarrison:Chulym	0	0	9284	0	0	9284
Emberá-Chamí	cmi	s:Caudmont:Chami	0	0	12364	0	0	12364
Emberá-Chamí	cmi	g:Aguirre:Embera	0	0	45368	0	0	45368
Emberá-Chamí	cmi	g:AguirreLicht:Embera:1998	0	0	45736	0	0	45736
Mandarin Chinese	cmn	g:Gang:Guangnan	0	0	17736	0	0	17736
Mandarin Chinese	cmn	g:Zhou:Pingli	0	0	37028	0	0	37028
Mandarin Chinese	cmn	ssoctyp:Dede:Xining:1999	0	0	79929	0	0	79929
Mandarin Chinese	cmn	g:Courant:Choinoise	0	0	120371	0	0	120371
Mandarin Chinese	cmn	dialtyp:Zhou:Mandarin	0	0	35743	0	0	35743
Mandarin Chinese	cmn	g:Lin:Mandarin-Chinese	0	0	69580	0	0	69580
Mandarin Chinese	cmn	typ:Wang:Chinese	0	0	68157	0	0	68157
Mandarin Chinese	cmn	g:Wiedenhof:Mandarin	0	0	185612	0	0	185612
Mandarin Chinese	cmn	typ:Dede:Huangshui	0	0	5838	0	0	5838
Mandarin Chinese	cmn	s:Korotkov:Kitajskij	0	0	128941	0	0	128941
Mandarin Chinese	cmn	g:Po-ChingRimmington:Chinese	0	0	122431	0	0	122431
Mandarin Chinese	cmn	s:Shi:Peking	0	0	1151	0	0	1151
Mandarin Chinese	cmn	g:Gui:Kunming	0	0	33644	0	0	33644
Mandarin Chinese	cmn	g:Summers:Chinese	0	0	174239	0	0	174239
Mandarin Chinese	cmn	g:LiThompson:Mandarin	0	0	171710	0	0	171710
Mandarin Chinese	cmn	typ:Escure:Creole-China	0	0	122396	0	0	122396
Mandarin Chinese	cmn	s:PinsonPinson:Kunming-Hua	0	0	5690	0	0	5690
Mandarin Chinese	cmn	g:Simmons:Hangzhou	0	0	8712	0	0	8712
Mandarin Chinese	cmn	s:Varo:Mandarina	0	0	446	0	0	446
Mandarin Chinese	cmn	s:Zhang:Wuhan	0	0	40025	0	0	40025
Central Mnong	cmo	styp:Bequette:Bunong	0	0	47327	0	0	47327
Central Mnong	cmo	st:Vogel:Phnong	1.47E-05	1	68093	0	0	68093
Central Mnong	cmo	s:KporPhillips:Mnong	0	0	9918	0	0	9918
Central Mnong	cmo	s:Butler:Bunong	0	0	6906	0	0	6906
Mro Chin	cmr	s:Shafer:Khimi	0	0	26160	0	0	26160
Northern Qiang	cng	g:LaPollaHuang:Qiang	0	0	143244	0	0	143244
Northern Qiang	cng	s:PoaLaPolla:Qiang	1.59E-05	5	315382	0	0	315382
Haka Chin	cnh	typ:Kavitskaya:Lai-Chin	0	0	12711	0	0	12711
Haka Chin	cnh	s:Peterson:Lai	0.000260892	2	7666	0	0	7666
Haka Chin	cnh	typ:Lalremzani:Lai	0.00035727	1	2799	0	0	2799
Haka Chin	cnh	sd:Newland:Lais	0	0	95306	0	0	95306
Asháninka	cni	st:Adam:Antis	0	0	1141	0	0	1141
Asháninka	cni	typ:Kindberg:Campa:Sentence	0	0	68763	0	0	68763
Asháninka	cni	typ:Kindberg:Campa-Morphology	0	0	68763	0	0	68763
Asháninka	cni	typ:Fernandez:Ashaninka	0	0	38556	0	0	38556
Khumi Chin	cnk	typ:Peterson:Khumi	0	0	4634	0	0	4634
Central Asmat	cns	g:Drabbe:Asmat	0	0	68771	0	0	68771
Central Asmat	cns	gt:Voorhoeve:Asmat	0	0	132007	0	0	132007
Tepetotutla Chinantec	cnt	typ:WestleyMerrifield:Chinantla	0	0	39396	0	0	39396
Tepetotutla Chinantec	cnt	s:Westley:Chinantec-Tepetotutla	0	0	29764	0	0	29764
Western Algerian Berber	cnu	s:Basset:Zenatia-Ouarsenis	0	0	1288	0	0	1288
Western Algerian Berber	cnu	g:Destaing:Beni-Snous	0	0	95082	0	0	95082
Cocos Islands Malay	coa	s:Adelaar:Cocos	0	0	11808	0	0	11808
Cocopa	coc	g:Crawford:Cocopa	0	0	46400	0	0	46400
Cocopa	coc	phontyp:Bendixen:Cocopa	0	0	307701	0	0	307701
Cocama-Cocamilla	cod	sv:Cabral:Kokama	0	0	91391	0	0	91391
Cocama-Cocamilla	cod	g:Vallejos:Kokama-Kokamilla	1.72E-05	4	231968	0	0	236736
Cocama-Cocamilla	cod	g:Vallejos:Kukama-Kukamiria	2.22E-05	5	225209	0	0	225209
Cocama-Cocamilla	cod	g:Faust:Cocama	0	0	34681	0	0	34681
Cocama-Cocamilla	cod	s:Vallejos:Kokama-Kokamilla	3.07E-05	2	65231	0	0	65231
Cocama-Cocamilla	cod	s:Viegas:Kokama	0	0	22427	0	0	22427
Cocama-Cocamilla	cod	g:Faust:Cocama:1978	0	0	64972	0	0	64972
Koreguaje	coe	sd:CookGralow:Koreguaje	0	0	84729	0	0	84729
Koreguaje	coe	g:CookCriswell:Koreguaje	0	0	30541	0	0	30541
Koreguaje	coe	s:Gonzalez:Koreguaje	0	0	667057	0	0	667057
Tsafiki	cof	typ:Moore:Colorado	0	0	5681	0	0	5681
Tsafiki	cof	s:Moore:Colorado	0	0	12639	0	0	12639
Tsafiki	cof	g:Dickinson:Tsafiki	0.001497598	125	83467	0	0	83762
Chong of Chanthaburi	cog	s:Sirikan:Chong	0	0	93284	0	0	93284
Chong of Chanthaburi	cog	s:Leumkhan:Chong	0	0	29302	0	0	29302
Chong of Chanthaburi	cog	g:Rojanakul:Chong	0	0	69013	0	0	69013
Chonyi-Dzihana-Kauma	coh	typ:Saidi:Mijikenda	0	0	4757	0	0	4757
Cochimi	coj	hvs:Mixco:Cochimi	0	0	47227	0	0	47227
Columbia-Wenatchi	col	g:Willett:Nxaamxcin	0	0	119265	0	0	119265
Comanche	com	g:RobinsonArmagost:Comanche	0	0	27198	0	0	27198
Comanche	com	g:Charney:Comanche:1989	0	0	83605	0	0	83605
Comanche	com	g:Charney:Comanche	0	0	72312	0	0	72312
Cofán	con	typ:Fischer:Cofan	0	0	7055	0	0	7055
Cofán	con	s:Tobar:Cofan	0	0	48952	0	0	48952
Cofán	con	s:Borman:Cofan	0	0	15673	0	0	15673
Comox	coo	g:Harris:Comox	0	0	69971	0	0	69971
Coptic	cop	g:Johnson:Demotic	0	0	32936	0	0	32936
Coptic	cop	s:Boudhors:Copte	0	0	20083	0	0	20083
Coptic	cop	g:Younan:Bohairic	0	0	74477	0	0	74477
Coptic	cop	s:Johnson:Demotic	0	0	107847	0	0	107847
Coptic	cop	g:Schwartze:Koptische	0	0	207428	0	0	207428
Coptic	cop	g:Mallon:Copte	0	0	132078	0	0	132078
Coptic	cop	g:Plumley:Coptic	0	0	47546	0	0	47546
Coptic	cop	g:Steindorff:Koptischen	0	0	103511	0	0	103511
Coptic	cop	typ:Shisha:Shenoutan	0	0	156692	0	0	156692
Coptic	cop	s:Haspelmath:Egyptian-Coptic	5.01E-06	1	199493	0	0	199493
Coptic	cop	phonvtyp:Ishak:Coptic	0	0	337318	0	0	337318
Coptic	cop	g:Lambdin:Sahidic-Coptic	0	0	200321	0	0	200321
Coptic	cop	s:Walters:Coptic	0	0	25913	0	0	25913
Coptic	cop	s:Tattam:Egyptian	0	0	26302	0	0	26302
Coptic	cop	s:Tuki:Coptae	0	0	505	0	0	505
Coptic	cop	s:Bauer:Qiladat-Koptische	0	0	107476	0	0	107476
Coptic	cop	g:Layton:Coptic	0	0	333122	0	0	333122
Cornish	cor	s:Wmffre:Cornish	0	0	25312	0	0	25312
Cornish	cor	s:Norris:Cornish	0	0	23851	0	0	23851
Cornish	cor	s:BockBruch:Cornish	0	0	39371	0	0	39371
Cornish	cor	s:George:Cornish	0	0	17703	0	0	17703
Cornish	cor	s:Williams:Unified-Cornish	0	0	88924	0	0	88924
Corsican	cos	g:Fusina:Corse	0	0	69537	0	0	69537
Corsican	cos	s:Dalbera:Corse	0	0	35041	0	0	35041
Corsican	cos	s:Giacomo:Corse	0	0	16473	0	0	16473
Caquinte	cot	g:Townsendetal:Caquinte	0	0	54834	0	0	54834
Caquinte	cot	g:Swift:Caquinte	0	0	16552	0	0	16552
Wamey	cou	g:Santos:Mey	0	0	243993	0	0	243993
Cao Miao	cov	g:Wu:Sanjiang-Kam	0.000831039	67	80622	0	0	80622
Cowlitz	cow	sd:Kinkade:Cowlitz	0	0	26261	0	0	26261
Nanti	cox	styp:Michael:Nanti	0	0	50787	0	0	50787
Nanti	cox	ge:Michael:Nanti	0	0	130447	0	0	130447
Chochotec	coz	g:Veerman-Leichsenring:Chocho	0	0	48653	0	0	48653
Chochotec	coz	s:Mock:Chocho	0	0	34982	0	0	34982
Chochotec	coz	s:Grosser:Chocholteco	0	0	4967	0	0	4967
Chochotec	coz	s:Belmar:Chocho	0	0	1141	0	0	1141
Chochotec	coz	sd:Grosser:Chocho-Santa-Maria-Nativitas	0	0	29417	0	0	29417
Palantla Chinantec	cpa	s:Merrifield:Palantla-Chinantec	0	0	29526	0	0	29526
Ucayali-Yurúa Ashéninka	cpb	s:Garcia:Asheninca-Ucayali	0	0	36367	0	0	36367
Ajyíninka Apurucayali	cpc	g:Payne:Axininca	0	0	127768	0	0	127768
Ajyíninka Apurucayali	cpc	g:PaynePayneSanchez:Asheninca	0	0	79369	0	0	79369
Ajyíninka Apurucayali	cpc	typ:Payne:Asheninca	0	0	45446	0	0	45446
Ajyíninka Apurucayali	cpc	g:PaynePayneSantos:Apurucayali	0	0	80377	0	0	80377
Cappadocian Greek	cpg	g:Karolidou:Kappadokia	0	0	194194	0	0	194194
Cappadocian Greek	cpg	g:Dawkins:Greek-Asia-Minor	0	0	10080	0	0	10080
Cappadocian Greek	cpg	styp:Karatsareas:Cappadocian-Greek	0	0	98006	0	0	98006
Chinese Pidgin English	cpi	sv:Wang:Chinese-Pidgin-English	0	0	1150	0	0	1150
Chinese Pidgin English	cpi	s:Bisang:Chinesische-Pidgin	0	0	23702	0	0	23702
Chinese Pidgin English	cpi	s:Hall:Chinese	0	0	13828	0	0	13828
Chinese Pidgin English	cpi	s:MatthewsLi:Chinese-Pidgin-English	0	0	5418	0	0	5418
Pichis Ashéninka	cpu	g:Payne:Asheninca	0	0	153856	0	0	153856
Pu-Xian Chinese	cpx	typ:Wu:Puxian	0	0	87913	0	0	87913
Island Carib	crb	typ:Taylor:Island-Carib	0	0	5771	0	0	5771
Island Carib	crb	s:Breton:Caraibe	0	0	47763	0	0	47763
Island Carib	crb	s:Taylor:IslandCarib	0	0	5438	0	0	5438
Lonwolwol	crc	g:Paton:Ambrym	0	0	144435	0	0	144435
Coeur d'Alene	crd	g:Doak:dAlene	0	0	67508	0	0	67508
Coeur d'Alene	crd	g:Reichard:dAlene	0	0	266570	0	0	266570
Coeur d'Alene	crd	s:Bischoff:Coeur-dAlene	0	0	43382	0	0	43382
Coeur d'Alene	crd	typ:Vincent:Coeur-Alene	0	0	24175	0	0	24175
Michif	crg	typ:Bakker:Michif	0	0	86744	0	0	86744
Michif	crg	s:BakkerPapen:Michif	0	0	153008	0	0	153008
Michif	crg	s:Rhodes:French-Cree	0	0	7007	0	0	7007
Michif	crg	s:Bakker:Michif	2.43E-05	3	123385	0	0	123385
Crimean Tatar	crh	s:Kavitskaya:Crimean-Tatar	0	0	37118	0	0	37118
Sãotomense	cri	s:Ferraz:SaoTome	0.001151562	57	49498	0	0	49498
Sãotomense	cri	s:Schuchardt:SaoThome	0	0	10171	0	0	10171
Sãotomense	cri	s:Hagemeijer:Santome	0.001027749	6	5838	0	0	5838
Southern East Cree	crj	typ:MacKenzie:Mistassini	0	0	1032	0	0	1032
Southern East Cree	crj	typ:Junker:East-Cree	0	0	8533	0	0	8533
Plains Cree	crk	g:Lacombe:Cris	0	0	71348	0	0	71348
Plains Cree	crk	g:Dahlstrom:Plains-Cree:1991	0	0	52573	0	0	52573
Plains Cree	crk	s:WolfartCarroll:Cree	0	0	29805	0	0	29805
Plains Cree	crk	g:Dahlstrom:Plains-Cree	0	0	48538	0	0	48538
Plains Cree	crk	s:Hives:Cree	0	0	8354	0	0	8354
Plains Cree	crk	typ:Cook:Plains-Cree	0	0	118080	0	0	118080
Plains Cree	crk	s:Wolfart:Cree	0	0	31324	0	0	31324
Plains Cree	crk	typ:Muhlbauer:Plains-Cree	0	0	118519	0	0	118519
Plains Cree	crk	g:Wolvengrey:Plains-Cree	0	0	134966	0	0	134966
Plains Cree	crk	s:Wolfart:PlainsCree	0	0	97296	0	0	97296
Plains Cree	crk	g:Wolfart:Plains-Cree	0	0	116428	0	0	116428
Northern East Cree	crl	typ:Necappo:Eastern-James-Bay-Cree	0	0	62439	0	0	62439
Northern East Cree	crl	typ:Terry:Northern-East-Cree	0	0	49433	0	0	49433
Moose Cree	crm	g:Horden:Cree	0	0	505	0	0	505
El Nayar Cora	crn	g:Casad:Cora	0	0	98472	0	0	98472
El Nayar Cora	crn	styp:Casad:Cora	0	0	114473	0	0	114473
El Nayar Cora	crn	s:Preuss:Cora	0	0	63141	0	0	63141
Crow	cro	s:Lowie:Crow	0	0	9334	0	0	9334
Crow	cro	styp:Wallace:Crow	0	0	65429	0	0	65429
Crow	cro	st:Lowie:Crow	0	0	67846	0	0	67846
Crow	cro	g:Graczyk:Crow	0	0	143790	0	0	143790
Iyo'wujwa Chorote	crq	s:Gerzenstein:Chorote	0	0	17607	0	0	17607
Iyo'wujwa Chorote	crq	g:Gerzenstein:Chorote:2	0	0	54344	0	0	54344
Iyo'wujwa Chorote	crq	g:Gerzenstein:Chorote	0	0	67010	0	0	67010
Seselwa Creole French	crs	g:Corne:Seychelles	0	0	83805	0	0	83805
Seselwa Creole French	crs	s:MichaelisRosalie:Seychelles	0	0	7130	0	0	7130
Iyojwa'ja Chorote	crt	g:Carol:Chorote	0	0	184632	0	0	184632
Iyojwa'ja Chorote	crt	g:Hunt:Choroti	0	0	156499	0	0	156499
Chrau	crw	s:Thomas:Chrau	0	0	10300	0	0	10300
Chrau	crw	g:Thomas:Chrau:1967	0	0	57654	0	0	57654
Chrau	crw	g:Thomas:Chrau	0	0	72077	0	0	72077
Carrier	crx	typ:Pike:Central-Carrier	0	0	0	0	0	0
Carrier	crx	gtd:Morice:Carrier	0	0	561717	0	0	561717
Carrier	crx	s:Poser:Stuart	0	0	28618	0	0	28618
Carrier	crx	sd:WilkinsonWalker:Central-Carrier	0	0	99798	0	0	99798
Carrier	crx	s:Walker:Central-Carrier	0	0	8430	0	0	8430
Cori	cry	s:Dihoff:Chori	0	0	4812	0	0	4812
Kashubian	csb	s:Ceynowa:Kassubische	0	0	51275	0	0	51275
Kashubian	csb	g:Lorentz:Kaschubischen	0	0	134386	0	0	134386
Kashubian	csb	s:Stone:Cassubian	0	0	410778	0	0	410778
Kashubian	csb	s:Lorentz:Kaschubische	0	0	32816	0	0	32816
Kashubian	csb	g:Lorentz:Slovinzinsche	0	0	1241	0	0	1241
Kashubian	csb	s:Dulicenko:Kasubskij	0	0	2692	0	0	2692
Kashubian	csb	st:Bronisch:Kaschubische	0	0	1618	0	0	1618
Catalan Sign Language	csc	typ:BarberaHofherr:Catalan-Sign	0	0	14853	0	0	14853
Chiangmai Sign Language	csd	s:WoodwardWongchai:Chiang-Mai	0	0	2337	0	0	2337
Asho Chin	csh	s:Houghton:Southern-Chins	0	0	35101	0	0	35101
Asho Chin	csh	typ:Otsuka:Asho-Chin	0	0	8154	0	0	8154
Asho Chin	csh	s:Fryer:Khyeng	0	0	18475	0	0	18475
Coast Miwok	csi	s:Freeland:Western-Miwok	0	0	11061	0	0	11061
Jola-Esulalu	csk	typ:Sambou:Joola-Esuulaalu	0	0	2994	0	0	2994
Jola-Esulalu	csk	typ:Sambou:Diola-Kasa	0	0	18820	0	0	18820
Jola-Esulalu	csk	s:Diatta:Diola-Bliss	0	0	10710	0	0	10710
Jola-Esulalu	csk	g:Sambou:Diola-Kaasa	0	0	60369	0	0	60369
Chinese Sign Language	csl	s:Yang:Chinese-Sign	0	0	7010	0	0	7010
Central Sierra Miwok	csm	g:Freeland:Central-Sierra-Miwok	0	0	103408	0	0	103408
Colombian Sign Language	csn	g:Oviedo:Lengua-Senas-Colombia	0	0	91010	0	0	91010
Sochiapam Chinantec	cso	typ:Foris:Sochiapan-Chinantec	0	0	330	0	0	330
Sochiapam Chinantec	cso	g:Foris:Sochiapan-Chinantec	8.46E-05	22	259903	0	0	259903
Croatia Sign Language	csq	typ:Milkovic:Order-Croatian-Sign	0	0	9887	0	0	9887
Southern Ohlone	css	s:Mason:Mutsun	0	0	26585	0	0	26585
Southern Ohlone	css	s:Shaul:Ausaima	0	0	5983	0	0	5983
Southern Ohlone	css	g:Okrand:Mutsun	0	0	188844	0	0	188844
